"";"L0_1";"L0_2";"A1_1";"A1_2";"C1";"Y1";"L1";"M2_1";"M2_2";"C2";"Y2"
"97";0;1;1;0;0;0;51,8964446803387;1;0;0;0
"98";0;1;0;1;0;0;62,8401378622767;1;0;0;1
"99";0;0;1;0;0;1;NA;NA;NA;NA;NA
"100";1;1;0;0;0;0;70,1977354515139;1;0;0;0
"101";0;0;0;1;0;0;58,7762103508411;1;0;0;1
"102";1;1;0;0;0;0;55,6431478558743;1;0;0;0
"103";0;1;1;0;0;0;55,9321726473493;1;0;0;0
"104";0;1;0;1;0;1;NA;NA;NA;NA;NA
"105";0;0;0;0;0;0;56,2201554422025;1;0;0;1
"106";0;1;1;0;0;0;21,1205534645259;1;0;0;0
"107";0;1;0;1;0;0;62,2293885373465;1;0;1;NA
"108";0;0;0;1;0;0;46,7907373439715;0;1;0;0
"109";0;1;0;0;1;NA;NA;NA;NA;NA;NA
"110";0;0;0;1;0;0;54,2294687732596;0;1;0;0
"111";1;0;0;1;0;0;43,2316135035855;1;0;0;0
"112";0;1;0;0;0;0;77,7465890108515;0;1;0;0
"113";1;1;1;0;0;0;62,5160444162556;1;0;1;NA
"114";0;0;0;0;0;0;75,8960275239498;1;0;0;0
"115";0;0;0;1;0;0;38,5231437949463;1;0;1;NA
"116";1;1;1;0;0;0;43,674693478138;0;1;0;0
"117";1;1;0;0;0;0;40,6821542406189;1;0;0;0
"118";0;0;0;1;0;0;83,5226174810961;1;0;0;1
"119";0;1;1;0;0;1;NA;NA;NA;NA;NA
"120";1;1;0;1;0;0;83,7736671042266;1;0;0;0
"121";1;1;0;1;0;0;70,7209725604017;1;0;0;0
"122";1;1;0;0;0;0;46,860191884708;1;0;0;0
"123";1;0;0;1;0;0;54,4032626658557;0;1;0;0
"124";1;0;0;1;0;0;66,9542351366584;1;0;0;0
"125";0;0;0;1;0;0;67,1281401073715;1;0;0;0
"126";0;1;0;1;0;0;62,5574131555623;1;0;0;0
"127";0;1;0;0;0;0;42,5965158507177;1;0;0;0
"128";0;0;0;0;0;0;40,9135158503974;1;0;0;0
"129";0;1;0;0;0;0;25,8091593955284;0;1;0;0
"130";0;1;0;0;0;0;25,8504438257651;1;0;0;0
"131";1;1;0;1;0;0;76,008181009523;1;0;0;0
"132";1;1;0;1;1;NA;NA;NA;NA;NA;NA
"133";0;0;0;1;0;0;61,1581869682545;1;0;0;0
"134";0;0;0;1;0;1;NA;NA;NA;NA;NA
"135";1;1;0;1;0;0;86,9297782621435;1;0;0;1
"136";0;1;0;1;0;1;NA;NA;NA;NA;NA
"137";1;1;0;1;0;0;76,3462321464028;1;0;0;0
"138";1;0;1;0;0;0;64,6976018661065;1;0;0;0
"139";1;1;0;1;0;0;61,9890121788568;1;0;0;1
"140";1;1;0;0;0;0;47,8387528076595;1;0;0;0
"141";0;1;0;1;0;0;61,1384783348962;0;1;0;0
"142";1;1;1;0;0;0;68,030424145682;1;0;0;0
"143";0;1;0;1;0;0;69,8808709818636;1;0;0;0
"144";0;0;1;0;0;0;68,1454378002855;1;0;0;1
"145";0;0;0;0;1;NA;NA;NA;NA;NA;NA
"146";1;1;0;1;1;NA;NA;NA;NA;NA;NA
"147";1;1;0;0;0;0;69,007133178776;1;0;0;0
"148";1;1;0;0;0;0;50,7234381498898;1;0;0;0
"149";1;1;0;0;0;0;48,2956053498954;1;0;0;1
"150";1;1;0;0;0;0;43,0539736721679;1;0;0;0
"151";0;1;0;0;0;0;46,6073800051583;1;0;1;NA
"152";0;0;0;0;0;0;42,3123352161025;1;0;0;0
"153";0;1;0;1;0;0;44,7577592626911;0;1;0;1
"154";1;0;1;0;0;0;78,3099356889283;1;0;0;0
"155";0;1;0;1;0;1;NA;NA;NA;NA;NA
"156";1;0;0;0;0;0;51,657583435479;1;0;1;NA
"157";1;1;0;0;0;0;72,2592244521007;0;1;0;0
"158";1;0;0;1;0;0;89,2896622744277;1;0;0;0
"159";0;0;0;0;0;0;56,5250432286962;1;0;0;0
"160";1;0;1;0;0;1;NA;NA;NA;NA;NA
"161";0;1;1;0;0;0;59,9985637116635;1;0;0;0
"162";1;1;0;1;0;0;97,4511821179441;1;0;0;0
"163";0;1;1;0;0;0;66,7483739912244;1;0;0;1
"164";0;0;0;0;0;0;30,1704027351936;0;0;0;0
"165";0;1;1;0;0;0;43,6536244641297;1;0;0;1
"166";1;1;0;1;0;0;70,9719478714103;1;0;0;1
"167";0;1;0;1;0;1;NA;NA;NA;NA;NA
"168";0;0;0;0;0;0;35,4421322488684;0;1;0;1
"169";1;0;0;0;0;0;34,888108282457;1;0;0;0
"170";0;0;1;0;0;0;57,9542971641537;1;0;0;0
"171";1;0;0;0;0;0;78,3297647016571;0;1;1;NA
"172";1;1;0;0;0;0;56,4545524835394;1;0;0;0
"173";1;0;1;0;0;0;32,9938610772543;1;0;1;NA
"174";0;1;0;0;0;0;42,5153841058363;1;0;0;0
"175";0;0;0;0;0;0;60,1866432738008;0;1;0;0
"176";1;1;1;0;0;0;44,1332590499452;0;1;0;0
"177";0;0;0;0;0;0;58,1764497028811;1;0;0;0
"178";1;1;0;1;0;1;NA;NA;NA;NA;NA
"179";0;0;0;0;0;0;43,3002152510165;1;0;0;0
"180";0;1;0;1;0;0;58,2606920958019;1;0;0;1
"181";0;1;0;1;0;0;44,6148909369008;0;1;0;1
"182";0;0;0;0;0;0;48,7504730203162;0;1;0;0
"183";1;0;0;1;0;0;61,3561389448023;0;0;0;0
"184";0;0;0;0;0;0;45,2418154963742;1;0;0;0
"185";1;1;0;1;0;1;NA;NA;NA;NA;NA
"186";0;0;0;1;0;0;59,9642074687294;1;0;1;NA
"187";1;0;0;0;0;0;47,0809141711442;0;1;0;0
"188";1;0;0;1;0;0;64,5861194621766;1;0;0;0
"189";0;0;0;0;0;0;48,1871239347773;1;0;0;0
"190";1;1;0;1;0;0;78,1471041484523;1;0;0;0
"191";1;0;0;0;0;0;37,3453536123648;1;0;0;0
"192";1;1;1;0;0;0;51,3398828683872;0;1;0;0
"193";0;1;0;1;1;NA;NA;NA;NA;NA;NA
"194";1;1;1;0;0;0;48,9841324408405;0;1;0;0
"195";1;0;1;0;0;0;52,8792174286823;1;0;0;1
"196";1;1;1;0;0;1;NA;NA;NA;NA;NA
"197";1;1;0;1;0;1;NA;NA;NA;NA;NA
"198";1;1;0;1;0;0;53,4023901758952;1;0;0;0
"199";1;1;0;1;0;0;61,2035819586905;1;0;1;NA
"200";1;0;0;0;0;0;46,1789031570767;1;0;0;0
"201";1;0;1;0;0;0;73,1606039618636;1;0;0;0
"202";0;1;0;0;0;0;46,7273880183089;0;1;1;NA
"203";0;0;0;0;0;1;NA;NA;NA;NA;NA
"204";1;1;0;1;0;0;83,5258196395887;1;0;1;NA
"205";0;1;0;1;0;0;40,6938543324176;0;1;0;1
"206";1;1;0;0;0;0;38,0336620846638;1;0;0;0
"207";0;1;1;0;0;0;50,1170968541994;1;0;0;0
"208";0;1;1;0;0;0;31,6092405763452;0;1;0;0
"209";0;1;0;1;0;0;71,9460196852107;1;0;0;1
"210";1;1;0;1;1;NA;NA;NA;NA;NA;NA
"211";1;1;0;0;0;0;38,5081937681333;1;0;0;0
"212";0;0;0;0;0;0;47,686691289484;1;0;0;0
"213";0;1;1;0;0;0;65,3029608354929;0;1;0;0
"214";1;1;0;0;0;0;43,7033829256995;1;0;0;0
"215";1;0;0;0;0;0;63,0718938931242;1;0;0;0
"216";1;1;0;1;0;0;64,9414614993386;0;1;0;0
"217";1;1;1;0;0;0;74,3770448869697;0;1;0;0
"218";1;0;0;1;0;0;81,9567250083653;0;1;0;0
"219";0;1;0;1;0;0;86,4731216189466;0;1;0;0
"220";1;1;0;1;0;0;54,0856632635801;0;1;0;1
"221";0;0;0;1;0;0;13,7242174192851;1;0;0;0
"222";0;1;1;0;0;0;53,491564111287;1;0;1;NA
"223";0;0;0;0;0;0;63,6740243423635;1;0;0;1
"224";0;0;0;0;0;0;39,9236053874708;1;0;0;0
"225";0;0;0;0;0;0;21,4468530014038;1;0;0;0
"226";0;0;1;0;0;0;53,0579021158137;0;1;0;0
"227";1;0;0;1;0;0;54,440043850018;1;0;0;0
"228";0;1;0;1;0;0;49,8062357552873;1;0;0;1
"229";0;1;0;1;0;1;NA;NA;NA;NA;NA
"230";0;1;0;1;0;0;54,8844704333149;1;0;0;0
"231";1;1;0;0;0;0;35,3836373784114;1;0;0;0
"232";1;0;0;0;0;0;53,28086074772;1;0;0;0
"233";0;0;0;0;0;0;54,778376223242;1;0;0;0
"234";1;0;0;1;0;1;NA;NA;NA;NA;NA
"235";1;1;0;0;0;0;63,3326431328772;0;1;0;0
"236";0;0;1;0;0;1;NA;NA;NA;NA;NA
"237";1;0;1;0;0;0;54,1545656356778;0;1;0;1
"238";0;1;0;1;0;0;36,0805817802733;0;1;0;0
"239";0;0;1;0;0;0;43,0542229998051;1;0;0;0
"240";1;1;0;1;0;0;87,6695608621423;1;0;0;1
"241";0;0;0;0;0;0;44,3990896451074;0;1;0;0
"242";0;1;0;1;0;0;58,0458757909592;1;0;0;1
"243";0;1;1;0;0;0;61,9349847402231;1;0;0;0
"244";1;1;0;0;0;0;44,8347062254948;1;0;0;0
"245";1;1;0;1;0;0;54,2405966458991;1;0;0;0
"246";0;0;1;0;0;0;28,1581856627644;1;0;0;0
"247";1;0;0;0;0;0;71,4758104071917;0;0;0;0
"248";1;1;1;0;0;0;60,0536779510772;1;0;0;0
"249";1;0;0;0;0;0;68,577908677442;1;0;0;0
"250";1;1;1;0;0;0;26,3313721924962;0;0;0;0
"251";0;0;0;0;0;0;33,3968826880232;0;0;0;1
"252";1;1;0;1;0;0;38,4662949348819;0;1;0;0
"253";0;1;1;0;0;0;16,601528117092;1;0;0;0
"254";0;1;0;0;0;0;64,4937219389602;1;0;0;1
"255";0;0;0;0;0;0;35,865585008253;1;0;0;0
"256";1;1;0;0;0;0;50,516663123319;0;1;0;1
"257";0;0;0;0;0;0;73,4479009640809;1;0;0;0
"258";0;1;1;0;0;0;69,4450254203873;0;1;0;0
"259";1;1;0;0;0;0;55,9549881934211;1;0;0;1
"260";0;0;0;0;0;0;62,1374847078989;1;0;0;1
"261";1;1;1;0;0;0;38,5937014303674;0;1;0;0
"262";0;0;0;1;0;0;71,0604048397131;1;0;0;0
"263";1;1;0;1;0;0;81,099900388996;1;0;0;0
"264";0;1;0;1;0;0;57,25501310618;1;0;0;1
"265";0;0;0;1;0;0;63,6733997993136;1;0;0;0
"266";0;1;0;1;1;NA;NA;NA;NA;NA;NA
"267";1;0;1;0;0;0;62,4902334781133;0;1;0;1
"268";0;1;0;0;0;0;64,7373730766756;1;0;0;0
"269";0;1;0;1;0;0;56,1762480315139;1;0;0;0
"270";1;1;1;0;0;0;28,281712047319;1;0;0;1
"271";0;1;0;0;0;0;31,8416237951754;0;1;0;1
"272";1;1;0;1;0;1;NA;NA;NA;NA;NA
"273";0;0;0;0;0;0;46,6659501981572;1;0;0;0
"274";1;1;0;0;0;0;51,3327164481538;1;0;0;1
"275";0;1;0;0;0;0;40,4320151073126;0;1;0;0
"276";0;1;0;1;0;0;53,871663020061;0;1;0;0
"277";1;0;0;0;0;0;49,0465742344069;0;0;0;0
"278";0;1;0;1;0;0;78,9747911684585;1;0;0;0
"279";0;1;0;1;0;0;67,2881014495672;1;0;0;0
"280";0;0;0;1;0;0;64,4437051665095;1;0;0;0
"281";0;1;0;1;0;0;61,5503650822804;1;0;0;0
"282";0;0;0;0;0;0;46,345307628177;1;0;0;0
"283";1;1;0;0;0;0;60,0567538915565;1;0;0;0
"284";1;1;0;1;0;0;46,2406644051244;1;0;0;1
"285";1;1;0;1;0;1;NA;NA;NA;NA;NA
"286";0;0;0;0;0;0;48,8442773588055;1;0;0;0
"287";0;0;0;0;0;0;51,0093338657579;1;0;0;0
"288";0;1;0;1;0;0;80,1538215113238;1;0;0;0
"289";1;1;0;0;0;0;32,7745981779099;1;0;0;0
"290";1;1;1;0;0;0;69,1909798825389;1;0;0;0
"291";1;0;0;1;0;0;46,4638507725099;1;0;0;0
"292";0;1;0;1;0;0;57,949390221552;0;1;0;1
"293";1;1;0;1;0;0;75,9453051099739;1;0;0;0
"294";0;0;1;0;0;1;NA;NA;NA;NA;NA
"295";1;1;0;0;0;0;54,5623896602003;1;0;0;0
"296";1;1;0;1;0;0;74,4840451789025;1;0;1;NA
"297";1;0;0;1;0;0;43,5747079129844;1;0;0;0
"298";0;1;1;0;0;0;51,3261367919629;1;0;0;0
"299";1;1;0;1;0;0;73,9436872818362;0;1;0;1
"300";0;0;0;0;0;0;51,3266633016788;1;0;0;0
"301";0;1;1;0;0;0;52,1528016082408;1;0;0;0
"302";1;1;0;1;0;0;66,1396592659359;1;0;0;0
"303";0;0;0;1;0;0;28,3534973455651;1;0;0;0
"304";0;1;0;0;0;0;57,9161641331247;1;0;0;0
"305";1;1;0;1;0;1;NA;NA;NA;NA;NA
"306";0;1;0;1;0;0;64,4020638431441;1;0;0;1
"307";0;1;0;1;0;0;55,7267023020048;1;0;0;0
"308";1;0;0;1;0;0;62,4880541867958;1;0;0;0
"309";0;1;1;0;0;0;56,4390996046209;1;0;0;0
"310";1;0;0;0;0;0;53,6334590999772;0;1;0;0
"311";1;0;0;1;0;0;49,2083348695643;1;0;1;NA
"312";1;1;0;0;0;0;44,1477605574704;1;0;0;0
"313";0;1;1;0;0;1;NA;NA;NA;NA;NA
"314";0;0;0;1;0;0;62,097479086902;1;0;0;1
"315";0;1;0;0;0;0;43,550674656295;0;1;0;0
"316";0;1;0;1;0;0;59,5253394625079;1;0;0;1
"317";0;1;0;0;0;1;NA;NA;NA;NA;NA
"318";0;1;1;0;0;0;45,711124006286;1;0;0;0
"319";0;1;0;1;0;0;50,6662686349597;1;0;0;1
"320";1;0;0;0;0;0;53,2125718454247;1;0;0;0
"321";0;0;1;0;0;0;62,0686698962256;1;0;0;0
"322";1;1;1;0;0;0;39,4528972264082;1;0;0;0
"323";0;0;1;0;0;1;NA;NA;NA;NA;NA
"324";0;1;0;0;0;1;NA;NA;NA;NA;NA
"325";0;1;0;1;0;0;48,8675131490301;1;0;0;1
"326";0;0;0;1;0;1;NA;NA;NA;NA;NA
"327";0;0;0;1;0;1;NA;NA;NA;NA;NA
"328";0;0;1;0;0;0;83,2227081029157;0;1;0;0
"329";1;1;0;1;0;1;NA;NA;NA;NA;NA
"330";1;1;1;0;1;NA;NA;NA;NA;NA;NA
"331";1;1;0;1;0;1;NA;NA;NA;NA;NA
"332";1;1;1;0;0;1;NA;NA;NA;NA;NA
"333";1;1;1;0;0;0;53,4933001212101;0;1;0;0
"334";0;1;0;1;0;0;74,5780344816092;0;1;0;1
"335";0;0;1;0;0;0;76,9072282110884;0;1;0;0
"336";0;1;1;0;1;NA;NA;NA;NA;NA;NA
"337";0;1;1;0;0;0;52,9175843615723;1;0;0;0
"338";0;1;1;0;0;0;55,3290277330561;1;0;0;0
"339";1;1;1;0;0;0;64,8708400684298;1;0;0;0
"340";0;1;0;1;0;1;NA;NA;NA;NA;NA
"341";1;1;0;1;0;0;51,6726030828862;0;0;0;1
"342";0;0;0;0;0;0;41,5520150524814;1;0;0;0
"343";0;1;0;1;1;NA;NA;NA;NA;NA;NA
"344";1;1;0;0;0;0;44,0994630915035;1;0;0;0
"345";0;1;0;0;0;0;32,4835511160444;0;0;0;0
"346";0;0;0;0;0;0;54,3010023617107;1;0;0;0
"347";0;1;0;1;0;0;44,9350244311174;1;0;0;1
"348";1;0;0;0;0;0;66,4807828825008;1;0;0;0
"349";1;1;0;1;0;0;70,9035922079274;1;0;0;0
"350";0;1;0;0;0;1;NA;NA;NA;NA;NA
"351";0;1;1;0;0;1;NA;NA;NA;NA;NA
"352";1;1;0;0;0;0;48,4640899005934;1;0;0;1
"353";0;1;0;0;0;0;23,7077193369686;1;0;0;0
"354";1;0;0;0;0;0;59,5869653235129;1;0;0;0
"355";1;1;0;1;1;NA;NA;NA;NA;NA;NA
"356";1;1;1;0;0;0;43,9347251098774;1;0;0;0
"357";1;1;0;1;0;0;76,3795132638921;1;0;0;0
"358";1;0;0;0;1;NA;NA;NA;NA;NA;NA
"359";0;0;0;0;0;0;40,3645503082768;1;0;0;0
"360";1;1;1;0;0;0;63,8404238892868;1;0;0;0
"361";0;1;0;1;0;0;50,7667907982211;0;1;0;1
"362";1;0;0;0;0;0;37,5786065719307;1;0;0;0
"363";0;1;0;1;0;0;73,845964616935;0;1;0;0
"364";0;0;1;0;0;0;51,5359532346946;1;0;0;0
"365";1;1;0;1;0;0;69,9025498750926;1;0;0;0
"366";1;1;1;0;1;NA;NA;NA;NA;NA;NA
"367";1;1;1;0;0;0;27,7734983209491;0;1;0;0
"368";0;0;0;1;0;0;67,4969535020887;0;1;0;0
"369";1;1;0;0;0;0;62,1215526031715;1;0;0;0
"370";1;1;0;0;0;1;NA;NA;NA;NA;NA
"371";1;0;0;1;0;1;NA;NA;NA;NA;NA
"372";0;1;1;0;0;0;56,2903486276921;1;0;0;0
"373";1;0;1;0;0;0;88,4708507819223;1;0;1;NA
"374";0;1;1;0;0;0;19,3296355117179;1;0;0;0
"375";0;1;1;0;0;0;43,2413161438739;1;0;0;1
"376";0;1;0;1;0;0;76,3914346555151;1;0;0;1
"377";1;1;0;1;0;0;78,239015741201;1;0;1;NA
"378";0;0;0;1;0;0;41,1886593793425;1;0;0;1
"379";0;1;1;0;0;0;82,9429421712669;0;1;0;0
"380";1;0;1;0;0;0;49,6252265435231;1;0;0;0
"381";0;1;0;0;0;0;28,9357095803149;1;0;0;0
"382";0;0;0;0;0;0;38,4681844058436;1;0;0;0
"383";0;1;1;0;0;0;47,3385515919788;1;0;0;0
"384";0;0;0;0;0;0;57,3260233831133;0;1;0;0
"385";0;1;1;0;0;0;56,2796209977457;1;0;0;1
"386";0;1;1;0;0;0;31,3489051585904;0;1;0;0
"387";1;1;0;0;0;0;50,2909249925091;1;0;0;0
"388";0;1;0;1;0;0;59,2999676028976;1;0;0;0
"389";1;0;0;1;0;0;58,073530721536;1;0;0;0
"390";1;1;0;0;0;0;35,349443240124;1;0;0;1
"391";1;1;0;1;0;0;62,7906844297683;1;0;0;0
"392";1;1;0;1;0;1;NA;NA;NA;NA;NA
"393";1;1;0;1;0;0;58,0550616643618;1;0;0;1
"394";1;1;1;0;0;0;22,2547183564448;1;0;0;0
"395";0;1;0;1;0;0;52,7672759482301;1;0;0;0
"396";1;1;0;1;0;1;NA;NA;NA;NA;NA
"397";1;0;0;0;0;0;47,1443171673687;1;0;0;0
"398";0;1;1;0;0;0;63,7337198286565;1;0;1;NA
"399";0;0;1;0;0;1;NA;NA;NA;NA;NA
"400";0;1;0;1;0;0;36,3690852398518;1;0;0;0
"401";1;0;0;1;0;0;73,0228727226557;1;0;0;0
"402";0;0;0;1;0;0;56,6585484472893;1;0;0;0
"403";1;1;0;0;0;0;60,5923384329199;1;0;0;1
"404";1;1;0;1;1;NA;NA;NA;NA;NA;NA
"405";1;1;1;0;0;1;NA;NA;NA;NA;NA
"406";0;1;0;0;0;0;54,087575531338;1;0;0;0
"407";1;1;0;1;0;1;NA;NA;NA;NA;NA
"408";0;0;1;0;0;1;NA;NA;NA;NA;NA
"409";1;0;0;1;0;0;77,3474283703404;0;1;0;1
"410";0;0;0;0;0;0;72,5399358431513;1;0;0;0
"411";1;0;0;1;0;0;83,1306069175452;1;0;0;0
"412";1;1;0;0;0;0;40,207426825779;0;0;0;0
"413";1;0;0;0;1;NA;NA;NA;NA;NA;NA
"414";0;0;0;0;0;0;62,9091919091333;1;0;0;0
"415";1;1;0;1;0;0;71,8352337635114;0;1;0;1
"416";0;0;0;0;0;0;53,3167497608532;1;0;0;0
"417";0;1;0;0;0;0;53,8617127789096;1;0;0;0
"418";1;1;0;1;0;0;79,6520005718482;1;0;1;NA
"419";0;1;0;0;0;0;22,9523519454506;1;0;0;0
"420";0;1;0;1;0;0;55,0353819465521;1;0;0;0
"421";1;1;1;0;0;0;28,2410867761325;1;0;0;1
"422";1;1;1;0;0;0;25,7832124167799;1;0;0;0
"423";0;0;0;0;1;NA;NA;NA;NA;NA;NA
"424";0;0;0;0;0;0;35,1638074358079;0;1;0;1
"425";1;0;0;0;0;0;48,2878954866568;1;0;0;0
"426";0;1;1;0;0;0;43,8275551886321;1;0;0;0
"427";0;0;0;1;0;1;NA;NA;NA;NA;NA
"428";0;0;0;1;0;0;59,8125715886413;1;0;0;0
"429";0;0;1;0;0;0;34,4010765353468;1;0;0;0
"430";0;1;0;0;0;0;14,1963870181644;1;0;0;0
"431";1;1;0;1;0;0;59,6622666962063;1;0;0;1
"432";1;1;0;1;0;0;53,6082860281377;1;0;0;0
"433";0;1;0;0;0;0;49,9593771521256;1;0;0;1
"434";1;1;0;1;1;NA;NA;NA;NA;NA;NA
"435";0;1;1;0;0;0;43,1316854813618;0;1;0;0
"436";1;0;0;0;0;0;28,9333332019565;1;0;0;0
"437";0;0;0;0;0;0;58,3357075089622;1;0;0;0
"438";1;0;0;0;0;1;NA;NA;NA;NA;NA
"439";1;1;0;0;0;0;57,9237988517895;1;0;0;0
"440";1;1;0;1;0;1;NA;NA;NA;NA;NA
"441";1;1;0;1;0;0;44,981819188351;0;1;0;0
"442";1;1;0;1;0;0;70,3908290996596;1;0;1;NA
"443";1;1;1;0;1;NA;NA;NA;NA;NA;NA
"444";0;1;1;0;0;0;41,3385257834989;1;0;0;0
"445";1;0;0;1;0;0;62,5629214021468;1;0;0;0
"446";1;1;0;1;0;0;75,3248622310924;1;0;1;NA
"447";1;1;0;1;0;0;68,0548370015608;1;0;0;1
"448";1;1;0;0;0;0;46,6671804581096;1;0;0;0
"449";1;0;0;0;0;0;32,7993287264811;1;0;0;0
"450";0;0;0;0;0;0;31,6259512756885;1;0;0;0
